atomic_id,domain,atomic_subtopic,papers,assessment_modes,template_family,recommended_hooks,base_sequence,recommended_asset_formats,personalized_delta_slots,attention_design_hypothesis,base_content_contract,evidence_status
CA-02,Calculus,Indeterminate forms,ME|XE-A and paper-dependent overlap,MCQ|MSQ|NAT,limit,Prediction before calculation|Graphical intuition,hook|graph_or_table|formal_definition|worked_limit|boundary_contrast|recall_prompt|timed_check,interactive_graph|step_reveal|contrast_question,algebra_repair|representation_shift|edge_case_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-03,Calculus,L’Hospital’s rule,XE-A and branch-dependent scope,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-04,Calculus,Continuity,CS|CE|ME|XE-A,MCQ|MSQ|NAT,limit,Prediction before calculation|Graphical intuition,hook|graph_or_table|formal_definition|worked_limit|boundary_contrast|recall_prompt|timed_check,interactive_graph|step_reveal|contrast_question,algebra_repair|representation_shift|edge_case_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-05,Calculus,Differentiability,CS|CE|ME|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-06,Calculus,Mean value theorems,CS|CE|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-07,Calculus,Maxima and minima of one variable,CS|CE|ME|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-08,Calculus,Taylor theorem and remainder,XE-A and branch-dependent scope,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-09,Calculus,Taylor series,CS/CE/ME/XE-A in varying depth,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-10,Calculus,Fundamental theorem of integral calculus,XE-A and branch-dependent scope,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-11,Calculus,Definite integrals,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-12,Calculus,Improper integrals,CE|EE|ME|XE-A,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-13,Calculus,Area under curves,CE|ME|XE-A,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-14,Calculus,Volume of revolution,CE|ME|XE-A,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-15,Calculus,Limits and continuity of two variables,CE|ME|XE-A,MCQ|MSQ|NAT,limit,Prediction before calculation|Graphical intuition,hook|graph_or_table|formal_definition|worked_limit|boundary_contrast|recall_prompt|timed_check,interactive_graph|step_reveal|contrast_question,algebra_repair|representation_shift|edge_case_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-16,Calculus,Partial derivatives,CE|EE|ME|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-17,Calculus,Total derivative,CE|ME|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-18,Calculus,Directional derivative,CE|EE|ME|XE-A,MCQ|MSQ|NAT,derivative,Rate-of-change intuition|Visual slope,hook|visual_intuition|rule_or_theorem|worked_derivation|sign_or_units_check|recall_prompt|mode_variant,animated_graph|annotated_derivation|micro_question,algebra_repair|function_reading|geometric_intuition|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-19,Calculus,"Maxima, minima and saddle points of two variables",CE|ME|XE-A,MCQ|MSQ|NAT,optimization,Decision under a constraint|Visual landscape,hook|visual_landscape|conditions|method_selection|worked_example|second_order_or_boundary_check|recall_prompt,contour_visual|decision_tree|contrast_question,derivative_repair|constraint_translation|method_selection|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-20,Calculus,Lagrange multipliers,XE-A and paper-dependent scope,MCQ|MSQ|NAT,optimization,Decision under a constraint|Visual landscape,hook|visual_landscape|conditions|method_selection|worked_example|second_order_or_boundary_check|recall_prompt,contour_visual|decision_tree|contrast_question,derivative_repair|constraint_translation|method_selection|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-21,Calculus,Double integrals,CE|ME|XE-A,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-22,Calculus,Triple integrals,ME and paper-dependent scope,MCQ|MSQ|NAT,integral,Accumulation story|Area or balance intuition,hook|geometric_intuition|rule_or_theorem|worked_example|bounds_or_convergence_check|recall_prompt|timed_check,area_animation|worked_example|answer_entry_check,function_reading|boundary_case|substitution_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-01,Vector Calculus,Vector fields and notation,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-02,Vector Calculus,Gradient,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-03,Vector Calculus,Divergence,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-04,Vector Calculus,Curl,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-05,Vector Calculus,Vector identities,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-06,Vector Calculus,Line integrals,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-07,Vector Calculus,Green’s theorem,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-08,Vector Calculus,Surface and volume integrals,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-09,Vector Calculus,Stokes’ theorem,EE|ME|XE-A and branch-dependent scope,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-10,Vector Calculus,Gauss/divergence theorem,EE|ME|XE-A and branch-dependent scope,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
VC-11,Vector Calculus,Theorem selection across Green/Stokes/Gauss,CE|EE|ME|XE-A,MCQ|MSQ|NAT,vector,Field-line intuition|Local-to-global question,hook|geometric_visual|operator_definition|worked_field|theorem_or_identity_check|recall_prompt|mode_variant,vector_field_plot|operator_overlay|theorem_selector,vector_geometry_repair|partial_derivative_repair|theorem_selection|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
DE-01,Ordinary Differential Equations,First-order linear equations,CE|EE|ME|XE-A,MCQ|MSQ|NAT,ode,System evolution story|Recognize the equation form,hook|equation_classification|method_decision_tree|step_by_step_solution|initial_or_boundary_check|recall_prompt|timed_check,decision_tree|solution_animation|residual_check,integration_repair|form_recognition|condition_placement|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
DE-02,Ordinary Differential Equations,First-order separable/nonlinear equations,CE|EE|ME|XE-A,MCQ|MSQ|NAT,ode,System evolution story|Recognize the equation form,hook|equation_classification|method_decision_tree|step_by_step_solution|initial_or_boundary_check|recall_prompt|timed_check,decision_tree|solution_animation|residual_check,integration_repair|form_recognition|condition_placement|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
DE-03,Ordinary Differential Equations,Exact equations,Branch-dependent|especially XE-A/engineering papers,MCQ|MSQ|NAT,ode,System evolution story|Recognize the equation form,hook|equation_classification|method_decision_tree|step_by_step_solution|initial_or_boundary_check|recall_prompt|timed_check,decision_tree|solution_animation|residual_check,integration_repair|form_recognition|condition_placement|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
DE-04,Ordinary Differential Equations,Homogeneous first-order equations,Branch-dependent,MCQ|MSQ|NAT,ode,System evolution story|Recognize the equation form,hook|equation_classification|method_decision_tree|step_by_step_solution|initial_or_boundary_check|recall_prompt|timed_check,decision_tree|solution_animation|residual_check,integration_repair|form_recognition|condition_placement|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
DE-05,Ordinary Differential Equations,Higher-order constant-coefficient equations,CE|EE|ME|XE-A,MCQ|MSQ|NAT,ode,System evolution story|Recognize the equation form,hook|equation_classification|method_decision_tree|step_by_step_solution|initial_or_boundary_check|recall_prompt|timed_check,decision_tree|solution_animation|residual_check,integration_repair|form_recognition|condition_placement|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
